SubClient Configuration Information
Generated on: Feb 24, 2023, 5:29:07 AM

Subclient Retention Details
"Client","Agent","Instance","Subclient","Retention Policy","Primary Retention"
"AHPDALEDC02","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDALEDC03","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDALHEBOOMI","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDALIDQ01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDALINTETL01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWACUCONT01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWACUCONT02","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWACUPRNT","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpdawautomic","SQL Server","AHPDAWAUTOMIC","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpdawautomic","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpdawchraxim01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpdawchredw01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWINFACON01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWNETWS03","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWNETWS05","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWNETWWW03","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWNETWWW05","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpdawshuttle02","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDAWSTEPWSE01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwacuity","SQL Server","AHPDDWACUITY","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwacuity","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDDWAXMVSQL01","SQL Server","AHPDDWAXMVSQL01\AXMD","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDDWAXMVSQL01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwclus01n01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwclus01n02","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDDWHRPVSQL01","SQL Server","AHPDDWHRPVSQL01\HRPD","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDDWHRPVSQL01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwinfa01","SQL Server","AHPDDWINFA01","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwinfa01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDDWINTVSQL01","SQL Server","AHPDDWINTVSQL01\INTD","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPDDWINTVSQL01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwstepwse01","SQL Server","AHPDDWSTEPWSE01","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpddwstepwse01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAATRAP02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAAZSCALER01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppalanalytc01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALAXON01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALBOMESB01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALBOMESB02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALBOMESB03","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALBOMESB04","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDC01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDC02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDC03","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDI012","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLGU01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLGU02","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLIE01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLIE02","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLIE03","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLIE04","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLIE05","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLIE06","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppaledwmlie07","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppaledwmlie08","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppaledwmlie09","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLNF01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALEDWMLNF02","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppaledwmlnf02new","Linux File System","","default","",""
"AHPPALIDQ01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALINTETL01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALINTETL02","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALPSOFT01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppalstack01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppalstack02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPALSXRIN01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWACUCONT01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWACUCONT02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWACUPRINT","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawarc01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawautomic","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWBFAX01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWBTRUST02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawcch01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawchraxim01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawchredw01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWDOCLINK01_decomm","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWDOCLINK03","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWDOCP01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWEDWMLQL01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWEDWMLQL02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWEDWMLQL03","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawfaxtrk01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWINFACON01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWMOVEIT01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWMSKMS","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWMSKMS02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWORAHYP11","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWORAHYP12","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppaworahyp13","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppaworahyp14","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWORAHYP15","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWPRINT01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWPSOFT03","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawpsoft04","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWQPMP","SQL Server","AHPPAWQPMP\PAREPORTING","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWQPMP","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawratemgr01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawshuttle01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWSLWR01","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWSTEPWSE01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWSTPWISE02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWSTPWISE03","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawstpwise04","Windows File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWTSEND01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppawvrnsdsp01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPAWVRNSSLR01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdldb01","Linux File System","","amisysprdbkup","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
