SubClient Configuration Information
Generated on: Feb 24, 2023, 5:29:07 AM

Subclient Retention Details
"Client","Agent","Instance","Subclient","Retention Policy","Primary Retention"
"AHPPMWPWDSS","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWRADIUS01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWRADIUS02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALBOMESB01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALBOMESB02","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALBOMESB03","Virtual Server","VMInstance","default","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALBOMESB04","Virtual Server","VMInstance","default","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE01","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE02","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE03","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE04","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE05","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE06","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE07","Linux File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE08","Linux File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLIE09","Linux File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLNF01","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALEDWMLNF02","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALPSOFT01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQALPSOFT02","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQAWCHRAXIM01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqawchraxim02","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqawedwmlql01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqawedwmlql02","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqawedwmlql03","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqawintetl01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQAWPSOFT02","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQAWPSOFT03","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWAXMVSQL01","SQL Server","AHPQDWAXMVSQL01\AXMQ","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWAXMVSQL01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqdwchraxim02","Windows File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqdwclus01n01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqdwclus01n02","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWHRPVSQL01","SQL Server","AHPQDWHRPVSQL01\HRPQ","06:00 AM backup","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWHRPVSQL01","SQL Server","AHPQDWHRPVSQL01\HRPQ","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWHRPVSQL01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahpqdwintetl02","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWINTVSQL01","SQL Server","AHPQDWINTVSQL01\INTQ","06:00 AM backup","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWINTVSQL01","SQL Server","AHPQDWINTVSQL01\INTQ","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWINTVSQL01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWPSFVSQL01","SQL Server","AHPQDWPSFVSQL01\PSFQ","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQDWPSFVSQL01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP01","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP03","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP04","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP05","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP06","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP07","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPQMWCJUMP08_DoNot_PowerON","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptalboomi01","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptalboomi02","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTALEDI010","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTALEDWMLGU01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTALINTETL01","Linux File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWARC01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptawautomic","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWCHRAXIM01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWMOVEIT01","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptaworahyp11","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWORAHYP12","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWORAHYP13","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWORAHYP14","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWSTEPWSE01","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTAWUSTG01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTDWAXMVSQL01","SQL Server","AHPTDWAXMVSQL01\AXMT","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTDWAXMVSQL01","Windows File System","","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdwclus01n01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdwclus01n02","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTDWHRPVSQL01","SQL Server","AHPTDWHRPVSQL01\HRPT","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTDWHRPVSQL01","Windows File System","","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTDWINTVSQL01","SQL Server","AHPTDWINTVSQL01\INTT","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPTDWINTVSQL01","Windows File System","","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdwmoveit01","SQL Server","AHPTDWMOVEIT01","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdwmoveit01","Windows File System","","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdworahyp11","SQL Server","AHPTDWORAHYP11","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdworahyp11","Windows File System","","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdwstepwse01","SQL Server","AHPTDWSTEPWSE01","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahptdwstepwse01","Windows File System","","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"avmedftcma01","Windows File System","","default","",""
"avmedftcma02","Windows File System","","default","",""
"AVMEDFTCvcentre","Virtual Server","VMware","default - Do not add servers","",""
"AVMEDFTCvcentre","Virtual Server","VMware","default1_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default10","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default11_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default12_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default13_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default14_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default15_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default16_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","Default17","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","Default18_Test","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default19_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default2_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default20_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default21_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default22_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default23_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default24_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default25_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","Default26_Test","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default3_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default4_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default5_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default6_Prod","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default7_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default8_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","default9_Dev","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDFTCvcentre","Virtual Server","VMware","Rohit_Test","CommServeDR","Copy Name: Primary, Retention:14 Days"
"AVMEDFTCvcentre","Virtual Server","VMware","Rohit_Test01","CommServeDR","Copy Name: Primary, Retention:14 Days"
"AVMEDFTCvcentre","Virtual Server","VMware","Test_0713","CommServeDR","Copy Name: Primary, Retention:14 Days"
"AVMEDFTCvcentre","Virtual Server","VMware","Test_Rohit01","CommServeDR","Copy Name: Primary, Retention:14 Days"
"avmedptccs01_AnalyticsServer","Big Data Apps","dynamicIndexInstance","default","",""
"avmedptccs01_Failover","SQL Server","AVMEDPTCCS01\COMMVAULT","CvFailoverLogShipping","CommServeDR","Copy Name: Primary, Retention:14 Days"
"avmedptccs01_Failover","SQL Server","AVMEDPTCCS01\COMMVAULT","default","",""
"avmedptcma01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"avmedptcma02","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"avmedptcma03","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","AHP0330","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","AHP0330","SP_PTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default","",""
"AVMEDPTCvcentre","Virtual Server","VMware","default1_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default10_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default11_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default12_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default13_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default14_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","Default15_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default16_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","Default17_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default18_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default19_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default2_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default20_Dev","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default3_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default4_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default5_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default6_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default7_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default8_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AVMEDPTCvcentre","Virtual Server","VMware","default9_Prod","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"cmalinuxtesting","Linux File System","","default","",""
"CommServeDR_IndexServer","Big Data Apps","classicIndexInstance","default","CommServeDR","Copy Name: Primary, Retention:14 Days"
"dm02db01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"dm02db02","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"Do not power ON - MIAPMWRootCA","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPALVNTP01","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPAWADDMPRO02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ftcpawccs01","SQL Server","FTCPAWCCS01\COMMVAULT","CvFailoverLogShipping","CommServeDR","Copy Name: Primary, Retention:14 Days"
"ftcpawccs01","SQL Server","FTCPAWCCS01\COMMVAULT","default","",""
"FTCPAWVISN01","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPAWVISN02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPAWVRCN01","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPAWVRCN02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPCWDC1","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPCWDC2","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPHVESX01","Virtual Server","VMware","default","",""
"FTCPMACLENC02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPML01LOGIN","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPML01VCENTER","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPML01VXMGR","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPMLVROPS01","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCPMWDHCP01","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCTAWQSCENT01","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCTAWQSENG01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCTAWQSENG02","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCTAWQSNPRIN02","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ftctawqsrdb01","PostgreSQL","","default","",""
"ftctawqsrdb01","PostgreSQL","ftctawqsrdb01_5432","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ftctawqsrdb01","PostgreSQL","ftctawqsrdb01_5432","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"ftctawqsrdb01","Windows File System","","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCTAWQSRIM01","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCTZWQSPRXY01","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"FTCTZWQSPRXY02","Virtual Server","VMInstance","default","SP_FTCData_Test","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVDAWOPNTX01","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWCWQI","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWDUO","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWEZONE","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWFAXQ","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWFAXQ365","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWFAXSRV01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWFAXSRV02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWLIEBMAMGT","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWOPNTX02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvpawqlik01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"GNVPAWRDS","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvpawtfs","SQL Server","GNVPAWTFS\TFSSQLSERVER","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvpawtfs","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvpdwfarm01","SQL Server","GNVPDWFARM01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvpdwfarm01","SQL Server","GNVPDWFARM01\AUTOMIC","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvpdwfarm01","SQL Server","GNVPDWFARM01\TSHUTTLE","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvpdwfarm01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvtdwfarm01","SQL Server","GNVTDWFARM01","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvtdwfarm01","SQL Server","GNVTDWFARM01\AUTOMIC","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvtdwfarm01","SQL Server","GNVTDWFARM01\TSHUTTLE","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvtdwfarm01","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"gnvwfpshare01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIADTSWCWQI","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWCSS","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWDUO","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWFAXQ","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWFAXQ365","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWFAXSRV01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWFAXSRV02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWHPALM","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWLIEBMAMGT","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWLIEBWEB","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWOBIEE","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWPERFCTR01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWPHPCTR","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWPLANETP01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWQSCENT","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"MIAPAWQSRIM","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"miapdwalmdb","SQL Server","MIAPDWALMDB","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"miapdwalmdb","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"miapdwcm01","SQL Server","MIAPDWCM01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"miapdwcm01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"miapdwfarm01","SQL Server","MIAPDWFARM01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"miapdwfarm01","SQL Server","MIAPDWFARM01","ERPM_DB","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"miapdwfarm01","SQL Server","MIAPDWFARM01\APPDEV","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
