Backup job summary
 Report generated on Nov 10, 2022, 9:33:02 AM

Job Details
"Job ID","Server","Agent","HyperVisor Type","Subclient","Type","Backup Type","Application Size","Media Size","Job status","Failure Reason","Throughput (GB/Hour)","VM Operating System","VM Datastore","Retain Data Until"
"2564008","AHPPDWAXMVSQL01","SQL Server","N/A","default","Backup","Transaction Log","576913774","143027821","Completed","","87.920","","","Nov 24, 2022, 09:00:11 AM"
"2564007","ahpdawautomic","SQL Server","N/A","default","Backup","Transaction Log","12910836","3297885","Completed","","3.940","","","Nov 24, 2022, 09:00:11 AM"
"2564006","ahp0414","SQL Server","N/A","default","Backup","Transaction Log","7864686","967350","Completed","","0.130","","","Nov 24, 2022, 09:00:11 AM"
"2564005","ahp0435","SQL Server","N/A","default","Backup","Transaction Log","2097396","26375","Completed","","0.410","","","Nov 24, 2022, 09:00:11 AM"
"2564004","gnvpawtfs","SQL Server","N/A","default","Backup","Transaction Log","7340764","100946","Completed","","0.070","","","Nov 24, 2022, 09:00:11 AM"
"2564003","ahp0213","SQL Server","N/A","default","Backup","Transaction Log","82385706","1422279","Completed","","3.330","","","Nov 24, 2022, 09:00:11 AM"
"2564002","ahp0926","SQL Server","N/A","default","Backup","Transaction Log","124070750","4570206","Completed","","1.600","","","Nov 24, 2022, 09:00:11 AM"
"2564001","miatdwvsql01","SQL Server","N/A","default","Backup","Transaction Log","34735056","1060469","Completed","","4.660","","","Nov 24, 2022, 09:00:11 AM"
"2564000","ahppdwhresb","SQL Server","N/A","default","Backup","Transaction Log","48435618","806347","Completed","","1.710","","","Nov 24, 2022, 09:00:10 AM"
"2563999","miapdwcm01","SQL Server","N/A","default","Backup","Transaction Log","104333800","14467242","Completed","","31.800","","","Nov 24, 2022, 09:00:11 AM"
"2563998","miapdwalmdb","SQL Server","N/A","default","Backup","Transaction Log","10224470","460388","Completed","","2.450","","","Nov 24, 2022, 09:00:10 AM"
"2563997","ahp0751","SQL Server","N/A","default","Backup","Transaction Log","262480659164","3595317288","Completed","","544.910","","","Nov 24, 2022, 09:00:10 AM"
"2563996","gnvpdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","64684520","17450241","Completed","","0.820","","","Nov 24, 2022, 09:00:10 AM"
"2563995","gnvpdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","3539310","44558","Completed","","0.060","","","Nov 24, 2022, 09:00:09 AM"
"2563994","gnvpdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","9437916","351373","Completed","","0.100","","","Nov 24, 2022, 09:00:09 AM"
"2563993","miapdwfarm02","SQL Server","N/A","default","Backup","Transaction Log","4981102","126994","Completed","","0.080","","","Nov 24, 2022, 09:00:09 AM"
"2563992","miapdwfarm02","SQL Server","N/A","default","Backup","Transaction Log","64753716","0","Running","","0.140","","","Nov 10, 2022, 09:00:09 AM"
"2563991","ahp0494","SQL Server","N/A","default","Backup","Transaction Log","1179770","17780","Completed","","0.660","","","Nov 24, 2022, 09:00:09 AM"
"2563990","ahp0758","SQL Server","N/A","default","Backup","Transaction Log","5046638","270345","Completed","","1.880","","","Nov 24, 2022, 09:00:09 AM"
"2563989","miapdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","12714960","234782","Completed","","2.840","","","Nov 24, 2022, 09:00:09 AM"
"2563988","miapdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","10093276","193560","Completed","","2.600","","","Nov 24, 2022, 09:00:09 AM"
"2563987","gnvtdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","106496488","32176184","Completed","","22.320","","","Nov 24, 2022, 09:00:09 AM"
"2563986","gnvtdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","4981224","69086","Completed","","1.040","","","Nov 24, 2022, 09:00:09 AM"
"2563985","gnvtdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","7996124","126863","Completed","","1.410","","","Nov 24, 2022, 09:00:09 AM"
"2563984","ahp0493","SQL Server","N/A","default","Backup","Transaction Log","11535190","224501","Completed","","1.490","","","Nov 24, 2022, 09:00:09 AM"
"2563983","miatdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","4719080","60109","Completed","","0.990","","","Nov 24, 2022, 09:00:09 AM"
"2563982","miatdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","3539310","44306","Completed","","0.910","","","Nov 24, 2022, 09:00:09 AM"
"2563981","miatdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","40242276","765108","Completed","","2.210","","","Nov 24, 2022, 09:00:09 AM"
"2563980","ahp0759","SQL Server","N/A","default","Backup","Transaction Log","6422894","266898","Completed","","1.270","","","Nov 24, 2022, 09:00:09 AM"
"2563979","ahp0763","SQL Server","N/A","default","Backup","Transaction Log","11862748","421144","Completed","","1.730","","","Nov 24, 2022, 09:00:09 AM"
"2563978","miatdwfarm02","SQL Server","N/A","default","Backup","Transaction Log","12911812","200445","Completed","","1.400","","","Nov 24, 2022, 09:00:09 AM"
"2563977","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","20382306","20431624","Completed","","5.690","","","Nov 24, 2022, 09:00:09 AM"
"2563976","miapdwfarm01","SQL Server","N/A","ERPM_DB","Backup","Transaction Log","6947060","722649","Completed","","2.910","","","Nov 24, 2022, 09:00:09 AM"
"2563974","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","15073890","15111592","Completed","","4.210","","","Nov 24, 2022, 08:45:03 AM"
"2563972","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","18612834","18658312","Completed","","2.150","","","Nov 24, 2022, 08:30:03 AM"
"2563971","miapdwfarm01","SQL Server","N/A","ERPM_DB","Backup","Transaction Log","6815988","685243","Completed","","2.290","","","Nov 24, 2022, 08:30:03 AM"
"2563969","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","127599202","127884104","Completed","","38.890","","","Nov 24, 2022, 08:15:03 AM"
"2563967","ahp0218","SQL Server","N/A","default","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 08:00:16 AM"
"2563966","ahppdwanlysql01","SQL Server","N/A","default","Backup","Transaction Log","14615504","324869","Completed","","3.060","","","Nov 24, 2022, 08:00:16 AM"
"2563965","ahppdworahyp11","SQL Server","N/A","default","Backup","Transaction Log","81856416","16868775","Completed","","10.560","","","Nov 24, 2022, 08:00:16 AM"
"2563964","ahppdwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","6292066","93604","Completed","","0.070","","","Nov 24, 2022, 08:00:16 AM"
