Backup job summary
 Report generated on Nov 10, 2022, 9:34:38 AM

Databases in SQL Server and Sybase Backup Jobs
"JobId","Server","Agent","Instance","BackupSet","Subclient","Type","Backup Type","Start Time","End Time","Storage Policy","Database Name","Database Size","Job status"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","MedicareRisk2022_ForAnil","1028096","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","MedicareRisk2022_M21","1028096","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","MedicareRisk2023","1028096","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","model","317440","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","micstats","2419712","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","moveitdmz","666624","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","ReportServer","451584","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2017","1068032","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2018","1068032","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2019","1068032","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2019_V2","1069056","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2020","1069056","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2021","1150976","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2021_TEST","1069056","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","Scheduler2022","1069056","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SchedulerACA2017","1100800","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SchedulerACA2018","1100800","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SchedulerACA2020","1101824","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SchedulerACA2021","1101824","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SchedulerACA2022","1101824","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SchedulerACA2023","1101824","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SchedulerPROSPY2022","1069056","Completed"
"2561616","miapdwfarm02","SQL Server","MIAPDWFARM02","defaultBackupSet","default","Backup","Transaction Log","Nov 9, 2022, 09:00:11 AM","Nov 9, 2022, 09:39:20 AM","SP_PTCData","SSISDB","593920","Completed"
"2561672","miapdwfarm01","SQL Server","MIAPDWFARM01","defaultBackupSet","ERPM_DB","Backup","Transaction Log","Nov 9, 2022, 09:30:01 AM","Nov 9, 2022, 09:30:35 AM","SP_PTCData","ERPM_DB","4085760","Completed"
"2561672","miapdwfarm01","SQL Server","MIAPDWFARM01","defaultBackupSet","ERPM_DB","Backup","Transaction Log","Nov 9, 2022, 09:30:01 AM","Nov 9, 2022, 09:30:35 AM","SP_PTCData","ERPM_REPORT_DB","912384","Completed"
